no selectJudge  0
no selectJudge  0
no selectJudge  0
no selectJudge  0
no selectJudge  0
no selectJudge  0
no selectJudge  0
no selectJudge  0
no selectJudge  0
no selectJudge  0
no selectJudge  0
no selectJudge  0
no selectJudge  0
no selectJudge  0
no selectJudge  0
no selectJudge  0
no selectJudge  0
no selectJudge  0
no selectJudge  0
no selectJudge  0
no selectJudge  0
t,1127376,-0.608553,-0.105199,4.913509,10.199512
t,1137445,-0.582576,-0.111154,2.597666,1.445863
t,1147389,-0.572186,-0.116928,1.039064,-4.555344
t,1157382,-0.530867,-0.122443,4.131830,7.988427
t,1167372,-0.426069,-0.127228,10.479802,34.060051
t,1177382,-0.384150,-0.131279,4.191923,10.041759
t,1187375,-0.367382,-0.135037,1.676768,0.413057
t,1197376,-0.283644,-0.138292,8.373821,27.587612
t,1207371,-0.239228,-0.140906,4.441617,12.803283
t,1217368,-0.221462,-0.143210,1.776646,2.617824
t,1227387,-0.173961,-0.145187,4.750013,14.811686
t,1237369,-0.056742,-0.146340,11.721961,43.514603
t,1247363,-0.009854,-0.146673,4.688784,16.691423
t,1257368,0.008901,-0.146678,1.875514,5.963439
t,1267414,0.113285,-0.146067,10.438390,40.721756
t,1277363,0.155039,-0.144725,4.175355,16.852133
t,1287375,0.171740,-0.143092,1.670143,7.315262
t,1297359,0.308977,-0.140688,13.723699,56.132248
t,1307385,0.363872,-0.137324,5.489480,24.766069
t,1317363,0.385830,-0.133575,2.195793,12.243629
t,1327341,0.412808,-0.129582,2.697837,14.592252
t,1337589,0.425899,-0.125389,1.309046,9.388077
t,1347433,0.431135,-0.121103,0.523618,6.435828
t,1357408,0.420303,-0.116846,-1.083142,0.071229
t,1367425,0.387908,-0.112805,-3.239533,-8.719428
t,1377375,0.374950,-0.106399,-1.295814,-1.243314
t,1387431,0.369767,-0.099857,-0.518325,1.786930
t,1397631,0.241686,-0.093891,-12.808086,-47.748531
t,1412254,0.190453,-0.088952,-5.123234,-18.394238
t,1417384,0.169960,-0.084615,-2.049293,-6.628904
t,1427390,0.083116,-0.080935,-8.684405,-33.598015
t,1437464,0.038033,-0.077970,-4.508377,-17.867941
t,1447378,0.019999,-0.075369,-1.803351,-7.526767
t,1457371,0.009554,-0.072947,-1.044490,-4.678772
t,1467373,0.001869,-0.070630,-0.768576,-3.679457
t,1477411,-0.001206,-0.068228,-0.307430,-1.896934
t,1487494,-0.002435,-0.065295,-0.122972,-1.164206
t,1497368,0.057981,-0.061495,6.041627,23.701147
t,1507369,0.082147,-0.057043,2.416651,9.922421
t,1517402,0.091814,-0.051900,0.966661,4.444552
